areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate
E10000006,Cumbria,utla,2022-11-16,16,,409
E10000006,Cumbria,utla,2022-11-15,25,,373
E10000006,Cumbria,utla,2022-11-14,26,0,300
E10000006,Cumbria,utla,2022-11-13,26,2,194
E10000006,Cumbria,utla,2022-11-12,24,1,249
E10000006,Cumbria,utla,2022-11-11,39,0,272
E10000006,Cumbria,utla,2022-11-10,47,0,473
E10000006,Cumbria,utla,2022-11-09,32,0,584
E10000006,Cumbria,utla,2022-11-08,52,2,790
E10000006,Cumbria,utla,2022-11-07,59,1,638
E10000006,Cumbria,utla,2022-11-06,29,2,404
E10000006,Cumbria,utla,2022-11-05,32,0,483
E10000006,Cumbria,utla,2022-11-04,27,2,892
E10000006,Cumbria,utla,2022-11-03,39,4,888
E10000006,Cumbria,utla,2022-11-02,56,2,1209
E10000006,Cumbria,utla,2022-11-01,49,0,1264
E10000006,Cumbria,utla,2022-10-31,54,0,1339
E10000006,Cumbria,utla,2022-10-30,52,0,599
E10000006,Cumbria,utla,2022-10-29,38,0,513
E10000006,Cumbria,utla,2022-10-28,49,2,835
E10000006,Cumbria,utla,2022-10-27,51,3,977
E10000006,Cumbria,utla,2022-10-26,60,2,1299
E10000006,Cumbria,utla,2022-10-25,49,1,1540
E10000006,Cumbria,utla,2022-10-24,59,2,1355
E10000006,Cumbria,utla,2022-10-23,51,1,808
E10000006,Cumbria,utla,2022-10-22,42,1,786
E10000006,Cumbria,utla,2022-10-21,51,1,999
E10000006,Cumbria,utla,2022-10-20,56,4,1158
E10000006,Cumbria,utla,2022-10-19,45,6,1479
E10000006,Cumbria,utla,2022-10-18,62,1,1656
E10000006,Cumbria,utla,2022-10-17,87,0,1717
E10000006,Cumbria,utla,2022-10-16,69,2,1041
E10000006,Cumbria,utla,2022-10-15,59,3,675
E10000006,Cumbria,utla,2022-10-14,66,3,948
E10000006,Cumbria,utla,2022-10-13,54,0,1158
E10000006,Cumbria,utla,2022-10-12,68,1,1556
E10000006,Cumbria,utla,2022-10-11,90,7,1592
E10000006,Cumbria,utla,2022-10-10,117,3,1579
E10000006,Cumbria,utla,2022-10-09,67,1,854
E10000006,Cumbria,utla,2022-10-08,45,5,650
E10000006,Cumbria,utla,2022-10-07,70,4,1035
E10000006,Cumbria,utla,2022-10-06,76,3,1394
E10000006,Cumbria,utla,2022-10-05,93,1,1388
E10000006,Cumbria,utla,2022-10-04,107,3,1618
E10000006,Cumbria,utla,2022-10-03,95,1,1534
E10000006,Cumbria,utla,2022-10-02,71,3,689
E10000006,Cumbria,utla,2022-10-01,52,2,775
E10000006,Cumbria,utla,2022-09-30,61,3,894
E10000006,Cumbria,utla,2022-09-29,82,3,859
E10000006,Cumbria,utla,2022-09-28,96,2,769
E10000006,Cumbria,utla,2022-09-27,80,1,805
E10000006,Cumbria,utla,2022-09-26,60,1,774
E10000006,Cumbria,utla,2022-09-25,82,1,660
E10000006,Cumbria,utla,2022-09-24,40,1,628
E10000006,Cumbria,utla,2022-09-23,72,2,1095
E10000006,Cumbria,utla,2022-09-22,68,1,959
E10000006,Cumbria,utla,2022-09-21,68,1,984
E10000006,Cumbria,utla,2022-09-20,94,0,814
E10000006,Cumbria,utla,2022-09-19,75,1,722
E10000006,Cumbria,utla,2022-09-18,41,1,570
E10000006,Cumbria,utla,2022-09-17,33,2,570
E10000006,Cumbria,utla,2022-09-16,31,1,716
E10000006,Cumbria,utla,2022-09-15,51,0,1023
E10000006,Cumbria,utla,2022-09-14,62,1,1451
E10000006,Cumbria,utla,2022-09-13,48,1,1633
E10000006,Cumbria,utla,2022-09-12,66,1,1600
E10000006,Cumbria,utla,2022-09-11,39,3,838
E10000006,Cumbria,utla,2022-09-10,19,1,707
E10000006,Cumbria,utla,2022-09-09,28,0,1062
E10000006,Cumbria,utla,2022-09-08,41,1,1279
E10000006,Cumbria,utla,2022-09-07,47,0,1517
E10000006,Cumbria,utla,2022-09-06,54,1,1688
E10000006,Cumbria,utla,2022-09-05,55,0,1858
E10000006,Cumbria,utla,2022-09-04,68,1,927
E10000006,Cumbria,utla,2022-09-03,42,3,706
E10000006,Cumbria,utla,2022-09-02,31,2,1189
E10000006,Cumbria,utla,2022-09-01,44,2,1446
E10000006,Cumbria,utla,2022-08-31,37,3,2012
E10000006,Cumbria,utla,2022-08-30,54,1,2465
E10000006,Cumbria,utla,2022-08-29,26,1,1492
E10000006,Cumbria,utla,2022-08-28,27,1,1044
E10000006,Cumbria,utla,2022-08-27,36,1,1004
E10000006,Cumbria,utla,2022-08-26,32,0,1515
E10000006,Cumbria,utla,2022-08-25,33,1,1860
E10000006,Cumbria,utla,2022-08-24,46,0,2041
E10000006,Cumbria,utla,2022-08-23,35,1,2047
E10000006,Cumbria,utla,2022-08-22,44,0,2418
E10000006,Cumbria,utla,2022-08-21,33,1,1546
E10000006,Cumbria,utla,2022-08-20,34,1,1215
E10000006,Cumbria,utla,2022-08-19,31,1,1693
E10000006,Cumbria,utla,2022-08-18,41,2,1971
E10000006,Cumbria,utla,2022-08-17,39,0,1986
E10000006,Cumbria,utla,2022-08-16,55,0,2465
E10000006,Cumbria,utla,2022-08-15,64,1,2597
E10000006,Cumbria,utla,2022-08-14,44,1,1249
