areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate
N09000003,Belfast,utla,2022-05-19,45,0,
N09000003,Belfast,utla,2022-05-18,46,1,
N09000003,Belfast,utla,2022-05-17,65,0,
N09000003,Belfast,utla,2022-05-16,67,0,
N09000003,Belfast,utla,2022-05-15,64,0,
N09000003,Belfast,utla,2022-05-14,42,0,
N09000003,Belfast,utla,2022-05-13,35,0,
N09000003,Belfast,utla,2022-05-12,41,0,
N09000003,Belfast,utla,2022-05-11,58,0,
N09000003,Belfast,utla,2022-05-10,63,0,
N09000003,Belfast,utla,2022-05-09,77,0,
N09000003,Belfast,utla,2022-05-08,60,0,
N09000003,Belfast,utla,2022-05-07,52,1,
N09000003,Belfast,utla,2022-05-06,53,0,
N09000003,Belfast,utla,2022-05-05,71,0,
N09000003,Belfast,utla,2022-05-04,50,0,
N09000003,Belfast,utla,2022-05-03,71,0,
N09000003,Belfast,utla,2022-05-02,43,0,
N09000003,Belfast,utla,2022-05-01,34,0,
N09000003,Belfast,utla,2022-04-30,23,0,
N09000003,Belfast,utla,2022-04-29,39,0,
N09000003,Belfast,utla,2022-04-28,54,0,
N09000003,Belfast,utla,2022-04-27,57,0,
N09000003,Belfast,utla,2022-04-26,79,1,
N09000003,Belfast,utla,2022-04-25,69,0,
N09000003,Belfast,utla,2022-04-24,82,0,
N09000003,Belfast,utla,2022-04-23,70,1,
N09000003,Belfast,utla,2022-04-22,87,0,
N09000003,Belfast,utla,2022-04-21,99,0,
N09000003,Belfast,utla,2022-04-20,130,2,
N09000003,Belfast,utla,2022-04-19,122,0,
N09000003,Belfast,utla,2022-04-18,96,1,
N09000003,Belfast,utla,2022-04-17,62,1,
N09000003,Belfast,utla,2022-04-16,94,0,
N09000003,Belfast,utla,2022-04-15,95,1,
N09000003,Belfast,utla,2022-04-14,121,0,
N09000003,Belfast,utla,2022-04-13,142,1,
N09000003,Belfast,utla,2022-04-12,153,1,
N09000003,Belfast,utla,2022-04-11,167,0,
N09000003,Belfast,utla,2022-04-10,136,0,
N09000003,Belfast,utla,2022-04-09,120,1,
N09000003,Belfast,utla,2022-04-08,142,0,
N09000003,Belfast,utla,2022-04-07,188,1,
N09000003,Belfast,utla,2022-04-06,193,1,
N09000003,Belfast,utla,2022-04-05,235,1,
N09000003,Belfast,utla,2022-04-04,253,1,
N09000003,Belfast,utla,2022-04-03,198,0,
N09000003,Belfast,utla,2022-04-02,133,0,
N09000003,Belfast,utla,2022-04-01,172,0,
N09000003,Belfast,utla,2022-03-31,189,2,
