areaCode,areaName,areaType,date,newCasesBySpecimenDate,newDeaths28DaysByDeathDate,newVirusTestsBySpecimenDate
S12000035,Argyll and Bute,utla,2022-11-13,2,,
S12000035,Argyll and Bute,utla,2022-11-12,1,,
S12000035,Argyll and Bute,utla,2022-11-11,4,,
S12000035,Argyll and Bute,utla,2022-11-10,4,,
S12000035,Argyll and Bute,utla,2022-11-09,4,,
S12000035,Argyll and Bute,utla,2022-11-08,6,,
S12000035,Argyll and Bute,utla,2022-11-07,8,,
S12000035,Argyll and Bute,utla,2022-11-06,7,,
S12000035,Argyll and Bute,utla,2022-11-05,5,,
S12000035,Argyll and Bute,utla,2022-11-04,4,,
S12000035,Argyll and Bute,utla,2022-11-03,4,,
S12000035,Argyll and Bute,utla,2022-11-02,6,,
S12000035,Argyll and Bute,utla,2022-11-01,2,,
S12000035,Argyll and Bute,utla,2022-10-31,8,,
S12000035,Argyll and Bute,utla,2022-10-30,4,,
S12000035,Argyll and Bute,utla,2022-10-29,5,,
S12000035,Argyll and Bute,utla,2022-10-28,5,,
S12000035,Argyll and Bute,utla,2022-10-27,10,,
S12000035,Argyll and Bute,utla,2022-10-26,4,,
S12000035,Argyll and Bute,utla,2022-10-25,8,,
S12000035,Argyll and Bute,utla,2022-10-24,10,,
S12000035,Argyll and Bute,utla,2022-10-23,3,,
S12000035,Argyll and Bute,utla,2022-10-22,8,,
S12000035,Argyll and Bute,utla,2022-10-21,4,,
S12000035,Argyll and Bute,utla,2022-10-20,4,,
S12000035,Argyll and Bute,utla,2022-10-19,3,,
S12000035,Argyll and Bute,utla,2022-10-18,5,,
S12000035,Argyll and Bute,utla,2022-10-17,6,,
S12000035,Argyll and Bute,utla,2022-10-16,2,,
S12000035,Argyll and Bute,utla,2022-10-15,11,,
S12000035,Argyll and Bute,utla,2022-10-14,1,,
S12000035,Argyll and Bute,utla,2022-10-13,13,,
S12000035,Argyll and Bute,utla,2022-10-12,9,,
S12000035,Argyll and Bute,utla,2022-10-11,7,,
S12000035,Argyll and Bute,utla,2022-10-10,12,,
S12000035,Argyll and Bute,utla,2022-10-09,4,,
S12000035,Argyll and Bute,utla,2022-10-08,5,,
S12000035,Argyll and Bute,utla,2022-10-07,4,,
S12000035,Argyll and Bute,utla,2022-10-06,4,,
S12000035,Argyll and Bute,utla,2022-10-05,8,,
S12000035,Argyll and Bute,utla,2022-10-04,13,,
S12000035,Argyll and Bute,utla,2022-10-03,6,,
S12000035,Argyll and Bute,utla,2022-10-02,6,,
S12000035,Argyll and Bute,utla,2022-10-01,11,,
S12000035,Argyll and Bute,utla,2022-09-30,5,,
S12000035,Argyll and Bute,utla,2022-09-29,11,,
S12000035,Argyll and Bute,utla,2022-09-28,5,,
S12000035,Argyll and Bute,utla,2022-09-27,8,,
S12000035,Argyll and Bute,utla,2022-09-26,5,,
